inst_id,start_ts,end_ts,default_h,min_interval_h,n_settlements,duration_h,trigger_bps,capture_bps,total_bps,direction
ZHIPU-USDT-SWAP,1783411200000,1783526400000,8.0,4.0,8,32.0,100.0,25.1,125.1,long_perp
PARTI-USDT-SWAP,1783771200000,1783857600000,4.0,2.0,12,24.0,100.0,194.02,294.02,long_perp
LRC-USDT-SWAP,1784289600000,1784358000000,4.0,1.0,18,19.0,100.0,577.23,677.23,long_perp
HOME-USDT-SWAP,1784275200000,1784354400000,4.0,2.0,11,22.0,100.0,434.39,534.39,long_perp
SLX-USDT-SWAP,1783180800000,1783281600000,4.0,1.0,25,28.0,48.62,529.69,578.31,long_perp
LAB-USDT-SWAP,1783375200000,1783526400000,4.0,1.0,42,42.0,100.0,2453.3,2553.3,long_perp
BREV-USDT-SWAP,1783029600000,1783065600000,4.0,1.0,10,10.0,4.59,54.15,58.75,long_perp
SKHYNIX-USDT-SWAP,1783929600000,1784044800000,8.0,4.0,8,32.0,100.0,105.95,205.95,short_perp
BLUR-USDT-SWAP,1783368000000,1783512000000,4.0,1.0,32,40.0,100.0,820.91,920.91,long_perp
ME-USDT-SWAP,1783008000000,1783094400000,4.0,2.0,12,24.0,5.75,211.36,217.11,long_perp
