ts,inst_id,event,old,new,funding_rate,sett_funding_rate,cap,floor,interval_h,premium
2026-07-17T12:34:39+00:00,LRC-USDT-SWAP,escalate,4.0,2.0,-0.01,-0.01,0.01,-0.01,2.0,-0.07438917
2026-07-17T12:34:39+00:00,LRC-USDT-SWAP,cap_bind,False,True,-0.01,-0.01,0.01,-0.01,2.0,-0.07438917
2026-07-17T12:34:39+00:00,SNOW-USDT-SWAP,listed,,8.0,-0.00330175,,0.01,-0.01,8.0,0.0
2026-07-17T12:34:39+00:00,APP-USDT-SWAP,listed,,8.0,0.0,,0.01,-0.01,8.0,0.0
2026-07-17T14:05:52+00:00,LRC-USDT-SWAP,escalate,2.0,1.0,-0.01,-0.01,0.01,-0.01,1.0,-0.15409304
2026-07-17T15:06:43+00:00,LRC-USDT-SWAP,pin_end,True,False,-0.00818866,-0.00963466,0.01,-0.01,1.0,-0.03967883
2026-07-17T15:06:43+00:00,LRC-USDT-SWAP,cap_release,True,False,-0.00818866,-0.00963466,0.01,-0.01,1.0,-0.03967883
2026-07-19T12:07:48+00:00,HOME-USDT-SWAP,de_escalate,2.0,4.0,-0.00081623,-0.00034635,0.01,-0.01,4.0,-0.00059714
2026-07-20T08:08:22+00:00,LRC-USDT-SWAP,delisted,1.0,,0,,0,,0,0
2026-07-20T11:01:30+00:00,KAITO-USD_UM_XPERP-310725,listed,,4.0,5e-05,,0.01,-0.01,4.0,0.0
2026-07-21T05:32:15+00:00,LA-USDT-SWAP,pin_start,False,True,-0.01,-0.00283924,0.01,-0.01,4.0,-0.02357716
2026-07-21T07:44:27+00:00,LA-USDT-SWAP,pin_end,True,False,-0.00884764,-0.00283924,0.01,-0.01,4.0,0.00059973
2026-07-21T12:09:33+00:00,LA-USDT-SWAP,pin_start,False,True,-0.01,-0.00969115,0.01,-0.01,4.0,-0.02030405
